SKU,Product Name,Brand,Category,Unit,Cost (AED),Price (mixed incl./excl. VAT),Opening Qty,Tax Group,Shelf Life Note
MM-00275,PureSound Replacement Battery,PureSound,Parts,Each,61.59,100.81,32,Standard 5%,
MM-00276,Zenlink Car Mount,Zenlink,accessories,Each,411.50,555.79,7,Standard 5%,
MM-00277,Nova Wireless Charger Pad,Nova,Charging,Each,223.53,293.30,15,Standard 5%,
MM-00278,PureSound Replacement Screen,PureSound,Parts,Each,189.02,308.16,25,Standard 5%,
MM-00279,Zenlink Fast Charger 65W,Zenlink,Charging,Each,72.27,120.81,12,Standard 5%,
MM-00280,Zenlink Bluetooth Speaker,Zenlink,Audio,Each,482.14,715.16,35,Standard 5%,
MM-00281,PureSound Replacement Screen,PureSound,Parts,Each,371.63,517.07,7,Standard 5%,
MM-00282,PureSound Replacement Battery,PureSound,Parts,Each,122.48,187.83,50,Standard 5%,
MM-00283,Zenlink Replacement Screen,Zenlink,Repair Parts,Each,424.39,791.75,30,Standard 5%,
MM-00284,PureSound Replacement Battery,PureSound,Repair Parts,Each,669.45,1102.25,13,Standard 5%,
MM-00285,Vantage Replacement Battery,Vantage,Repair Parts,Each,605.61,791.54,44,Standard 5%,
MM-00286,Vantage Fitness Band,Vantage,Wearables,Each,858.28,1359.05,10,Standard 5%,
MM-00287,Orbit Over-Ear Headphones,Orbit,Audio,Each,889.89,1126.37,29,Standard 5%,
MM-00288,Nova Smartphone 256GB,Nova,phones,Each,99.30,172.01,28,Standard 5%,
MM-00289,Nova Phone Case,Nova,accessories,Each,405.96,708.55,48,Standard 5%,
MM-00290,Zenlink Smartphone 128GB,Zenlink,Mobiles,Each,584.51,789.47,5,Standard 5%,
MM-00291,PureSound Phone Case,PureSound,Acc.,Each,658.16,1097.42,23,Standard 5%,
MM-00292,Zenlink Smart Watch,Zenlink,Wearable,Each,233.67,410.41,8,Standard 5%,
MM-00293,Falconx Fast Charger 65W,Falconx,Charging,Each,184.48,297.35,15,Standard 5%,
MM-00294,Zenlink Fast Charger 65W,Zenlink,Charging,Each,51.26,92.33,11,Standard 5%,
MM-00295,Nova Fitness Band,Nova,Wearables,Each,80.20,117.93,3,Standard 5%,
MM-00296,Nova Fitness Band,Nova,Wearable,Each,54.99,87.45,19,Standard 5%,
MM-00297,Vantage Wireless Earbuds,Vantage,audio,Each,270.54,510.39,20,Standard 5%,
MM-00298,Orbit Replacement Battery,Orbit,Repair Parts,Each,95.54,144.15,16,Standard 5%,
MM-00299,Zenlink Smart Watch,Zenlink,Wearable,Each,777.28,1376.53,36,Standard 5%,
MM-00300,Falconx Replacement Battery,Falconx,Parts,Each,860.79,1116.70,33,Standard 5%,
MM-00301,Nova Replacement Screen,Nova,Repair Parts,Each,211.66,339.18,36,Standard 5%,
MM-00302,Zenlink Smartphone Lite,Zenlink,Phones,Each,558.65,814.79,3,Standard 5%,
MM-00303,Falconx Wireless Earbuds,Falconx,audio,Each,516.00,729.89,43,Standard 5%,
MM-00304,Orbit Fast Charger 20W,Orbit,Chargers,Each,309.97,492.85,35,Standard 5%,
MM-00305,Nova Smartphone Lite,Nova,Mobiles,Each,640.09,1149.70,32,Standard 5%,
MM-00306,Nova Replacement Screen,Nova,Repair Parts,Each,875.48,1211.35,30,Standard 5%,
MM-00307,PureSound Cable Type-C,PureSound,Accessories,Each,814.81,1319.81,38,Standard 5%,
MM-00308,Vantage Smartphone 128GB,Vantage,phones,Each,684.92,1092.15,44,Standard 5%,
MM-00309,Nova Replacement Screen,Nova,Parts,Each,623.64,1108.08,34,Standard 5%,
MM-00310,Vantage Wireless Charger Pad,Vantage,Chargers,Each,112.44,184.95,19,Standard 5%,
MM-00311,Zenlink Screen Protector,Zenlink,Acc.,Each,370.67,538.66,8,Standard 5%,
MM-00312,PureSound Replacement Battery,PureSound,Repair Parts,Each,46.05,81.60,43,Standard 5%,
MM-00313,Vantage Wireless Earbuds,Vantage,Audio,Each,497.31,690.12,21,Standard 5%,
MM-00314,PureSound Fast Charger 20W,PureSound,Charging,Each,214.41,322.71,23,Standard 5%,
MM-00315,Nova Cable Type-C,Nova,Acc.,Each,721.35,1039.24,12,Standard 5%,
MM-00316,Nova Cable Type-C,Nova,Acc.,Each,394.25,735.27,13,Standard 5%,
MM-00317,Zenlink Fast Charger 65W,Zenlink,Charging,Each,210.94,320.38,34,Standard 5%,
MM-00318,Nova Replacement Battery,Nova,Repair Parts,Each,585.10,1045.04,41,Standard 5%,
MM-00319,PureSound Smart Watch,PureSound,Wearable,Each,801.25,1095.92,35,Standard 5%,
MM-00320,Orbit Smartphone 128GB,Orbit,Mobiles,Each,352.19,521.31,25,Standard 5%,
MM-00321,Nova Wireless Earbuds,Nova,Audio,Each,828.09,1066.23,26,Standard 5%,
MM-00322,Falconx Fitness Band,Falconx,Wearable,Each,160.78,292.46,17,Standard 5%,
MM-00323,Vantage Cable Type-C,Vantage,Accessories,Each,668.34,990.77,4,Standard 5%,
MM-00324,Nova Smartphone Lite,Nova,Phones,Each,571.60,822.61,15,Standard 5%,
MM-00325,Orbit Screen Protector,Orbit,Acc.,Each,729.30,927.48,1,Standard 5%,
MM-00326,Nova Replacement Screen,Nova,Parts,Each,207.58,343.44,28,Standard 5%,
MM-00327,PureSound Cable Type-C,PureSound,accessories,Each,85.21,110.31,35,Standard 5%,
MM-00328,Orbit Replacement Battery,Orbit,Parts,Each,718.50,937.72,6,Standard 5%,
MM-00329,Falconx Bluetooth Speaker,Falconx,Audio,Each,595.23,818.04,4,Standard 5%,
MM-00330,Falconx Fitness Band,Falconx,Wearables,Each,482.98,739.65,10,Standard 5%,
MM-00331,Zenlink Fitness Band,Zenlink,Wearables,Each,692.51,1167.36,46,Standard 5%,
MM-00332,Vantage Screen Protector,Vantage,Acc.,Each,108.19,148.38,17,Standard 5%,
MM-00333,Zenlink Wireless Charger Pad,Zenlink,Charging,Each,834.84,1090.93,43,Standard 5%,
MM-00334,Zenlink Fitness Band,Zenlink,Wearables,Each,783.14,1306.55,12,Standard 5%,
MM-00335,Nova Phone Case,Nova,accessories,Each,872.53,1599.17,47,Standard 5%,
MM-00336,Vantage Fitness Band,Vantage,Wearable,Each,347.81,650.89,47,Standard 5%,
MM-00337,Nova Fast Charger 20W,Nova,Charging,Each,688.11,1191.48,46,Standard 5%,
MM-00338,Zenlink Fast Charger 65W,Zenlink,Charging,Each,870.40,1469.04,10,Standard 5%,
MM-00339,Zenlink Phone Case,Zenlink,Accessories,Each,541.54,813.21,2,Standard 5%,
MM-00340,Orbit Smartphone 256GB,Orbit,phones,Each,136.32,234.84,41,Standard 5%,
MM-00341,Falconx Smart Watch,Falconx,Wearable,Each,840.52,1562.02,46,Standard 5%,
MM-00342,Vantage Fast Charger 20W,Vantage,Charging,Each,240.58,415.53,35,Standard 5%,
MM-00343,Nova Smart Watch,Nova,Wearable,Each,596.74,826.09,17,Standard 5%,
MM-00344,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,893.44,1549.94,13,Standard 5%,
MM-00345,PureSound Cable Type-C,PureSound,accessories,Each,443.42,683.62,41,Standard 5%,
MM-00346,Nova Smart Watch,Nova,Wearables,Each,749.86,1283.31,11,Standard 5%,
MM-00347,Nova Smart Watch,Nova,Wearable,Each,877.33,1295.31,24,Standard 5%,
MM-00348,Vantage Wireless Earbuds,Vantage,audio,Each,321.90,449.24,21,Standard 5%,
MM-00349,Nova Wireless Charger Pad,Nova,Chargers,Each,288.87,424.66,32,Standard 5%,
MM-00350,Falconx Replacement Battery,Falconx,Repair Parts,Each,570.94,818.14,19,Standard 5%,
MM-00351,Orbit Over-Ear Headphones,Orbit,audio,Each,895.53,1354.05,17,Standard 5%,
MM-00352,PureSound Over-Ear Headphones,PureSound,Audio,Each,562.50,1041.06,23,Standard 5%,
MM-00353,Orbit Fitness Band,Orbit,Wearables,Each,545.14,860.35,25,Standard 5%,
MM-00354,Orbit Smart Watch,Orbit,Wearable,Each,164.94,296.30,25,Standard 5%,
MM-00355,Vantage Smartphone Lite,Vantage,Phones,Each,562.74,848.14,2,Standard 5%,
MM-00356,Nova Bluetooth Speaker,Nova,Audio,Each,406.93,515.33,15,Standard 5%,
MM-00357,Orbit Smartphone 256GB,Orbit,Mobiles,Each,17.53,22.94,11,Standard 5%,
MM-00358,PureSound Fitness Band,PureSound,Wearable,Each,853.98,1577.87,40,Standard 5%,
MM-00359,Zenlink Fast Charger 65W,Zenlink,Chargers,Each,239.51,411.51,0,Standard 5%,
MM-00360,Zenlink Wireless Earbuds,Zenlink,audio,Each,830.83,1294.67,47,Standard 5%,
MM-00361,Falconx Bluetooth Speaker,Falconx,Audio,Each,407.51,734.80,49,Standard 5%,
MM-00362,Zenlink Smartphone 256GB,Zenlink,Mobiles,Each,606.78,904.38,11,Standard 5%,
MM-00363,Zenlink Screen Protector,Zenlink,Acc.,Each,765.07,1432.63,3,Standard 5%,
MM-00364,Zenlink Smartphone 256GB,Zenlink,Phones,Each,884.39,1384.67,32,Standard 5%,
MM-00365,Vantage Fitness Band,Vantage,Wearables,Each,238.88,360.00,36,Standard 5%,
MM-00366,PureSound Smartphone 128GB,PureSound,Mobiles,Each,771.21,1365.09,28,Standard 5%,
MM-00367,Zenlink Phone Case,Zenlink,Acc.,Each,207.66,293.54,18,Standard 5%,
MM-00368,Nova Smart Watch,Nova,Wearable,Each,465.80,654.40,45,Standard 5%,
MM-00369,Vantage Smart Watch,Vantage,Wearable,Each,488.29,704.43,39,Standard 5%,
MM-00370,PureSound Fast Charger 20W,PureSound,Chargers,Each,190.80,287.79,25,Standard 5%,
MM-00371,Falconx Smartphone Lite,Falconx,phones,Each,632.98,979.07,8,Standard 5%,
MM-00372,Falconx Car Mount,Falconx,Acc.,Each,221.32,396.47,15,Standard 5%,
MM-00373,Nova Over-Ear Headphones,Nova,audio,Each,542.65,1023.35,19,Standard 5%,
MM-00374,Nova Wireless Earbuds,Nova,Audio,Each,132.11,198.90,19,Standard 5%,
MM-00375,PureSound Smartphone 128GB,PureSound,Mobiles,Each,43.73,79.86,37,Standard 5%,
MM-00376,Nova Phone Case,Nova,Acc.,Each,739.09,1311.39,25,Standard 5%,
MM-00377,PureSound Wireless Earbuds,PureSound,audio,Each,213.53,308.31,10,Standard 5%,
MM-00378,Falconx Wireless Earbuds,Falconx,Audio,Each,338.54,526.62,7,Standard 5%,
MM-00379,Nova Cable Type-C,Nova,Accessories,Each,754.97,1352.94,43,Standard 5%,
MM-00380,Orbit Smartphone 256GB,Orbit,Phones,Each,119.87,190.34,44,Standard 5%,
MM-00381,Nova Fitness Band,Nova,Wearable,Each,379.95,593.89,10,Standard 5%,
MM-00382,Vantage Replacement Battery,Vantage,Repair Parts,Each,642.17,1211.30,9,Standard 5%,
MM-00383,Zenlink Fitness Band,Zenlink,Wearables,Each,147.76,208.66,12,Standard 5%,
MM-00384,Zenlink Smart Watch,Zenlink,Wearable,Each,666.87,1020.84,5,Standard 5%,
MM-00385,Falconx Smartphone 128GB,Falconx,Phones,Each,874.91,1462.79,14,Standard 5%,
MM-00386,Zenlink Replacement Screen,Zenlink,Repair Parts,Each,393.82,700.13,34,Standard 5%,
MM-00387,Zenlink Screen Protector,Zenlink,accessories,Each,264.00,468.74,40,Standard 5%,
MM-00388,Vantage Screen Protector,Vantage,Acc.,Each,199.91,278.38,13,Standard 5%,
MM-00389,Vantage Smart Watch,Vantage,Wearables,Each,639.48,839.63,0,Standard 5%,
MM-00390,Vantage Wireless Earbuds,Vantage,audio,Each,585.71,825.91,28,Standard 5%,
MM-00391,Vantage Fast Charger 20W,Vantage,Charging,Each,690.80,1087.80,21,Standard 5%,
MM-00392,Orbit Smart Watch,Orbit,Wearables,Each,280.18,427.60,5,Standard 5%,
MM-00393,PureSound Wireless Charger Pad,PureSound,Charging,Each,243.96,417.04,2,Standard 5%,
MM-00394,Orbit Screen Protector,Orbit,Accessories,Each,375.20,564.36,10,Standard 5%,
MM-00395,Zenlink Wireless Earbuds,Zenlink,Audio,Each,141.52,194.80,3,Standard 5%,
MM-00396,Orbit Fast Charger 65W,Orbit,Charging,Each,687.30,973.27,48,Standard 5%,
MM-00397,PureSound Over-Ear Headphones,PureSound,Audio,Each,419.85,688.84,36,Standard 5%,
MM-00398,Vantage Cable Type-C,Vantage,Accessories,Each,117.15,192.82,35,Standard 5%,
MM-00399,Zenlink Over-Ear Headphones,Zenlink,audio,Each,185.15,261.44,22,Standard 5%,
MM-00400,PureSound Fitness Band,PureSound,Wearable,Each,808.97,1058.40,30,Standard 5%,
MM-00401,Nova Fast Charger 65W,Nova,Chargers,Each,292.04,381.79,43,Standard 5%,
MM-00402,Orbit Wireless Charger Pad,Orbit,Charging,Each,754.53,1380.77,49,Standard 5%,
MM-00403,Orbit Car Mount,Orbit,accessories,Each,765.18,1173.74,24,Standard 5%,
MM-00404,Falconx Smartphone 128GB,Falconx,Mobiles,Each,547.43,766.51,40,Standard 5%,
MM-00405,Zenlink Wireless Earbuds,Zenlink,audio,Each,466.39,723.42,23,Standard 5%,
MM-00406,Orbit Replacement Battery,Orbit,Repair Parts,Each,556.14,902.88,0,Standard 5%,
MM-00407,Zenlink Smartphone 256GB,Zenlink,Phones,Each,143.86,231.24,32,Standard 5%,
MM-00408,Falconx Replacement Screen,Falconx,Parts,Each,291.54,537.59,12,Standard 5%,
MM-00409,PureSound Fast Charger 20W,PureSound,Chargers,Each,110.71,188.29,41,Standard 5%,
MM-00410,Vantage Cable Type-C,Vantage,accessories,Each,337.87,458.73,22,Standard 5%,
MM-00411,Nova Wireless Charger Pad,Nova,Chargers,Each,476.93,782.76,20,Standard 5%,
MM-00412,Vantage Fast Charger 20W,Vantage,Charging,Each,63.29,80.76,22,Standard 5%,
MM-00413,Nova Replacement Screen,Nova,Parts,Each,468.87,820.92,41,Standard 5%,
MM-00414,PureSound Fast Charger 20W,PureSound,Charging,Each,381.55,632.32,14,Standard 5%,
MM-00415,Falconx Over-Ear Headphones,Falconx,Audio,Each,325.32,568.96,9,Standard 5%,
MM-00416,Orbit Smartphone Lite,Orbit,Mobiles,Each,736.82,1292.55,7,Standard 5%,
MM-00417,Orbit Smartphone 128GB,Orbit,phones,Each,199.88,282.26,21,Standard 5%,
MM-00418,Vantage Wireless Earbuds,Vantage,Audio,Each,324.56,539.99,20,Standard 5%,
MM-00419,PureSound Replacement Screen,PureSound,Repair Parts,Each,138.70,208.34,46,Standard 5%,
MM-00420,Orbit Over-Ear Headphones,Orbit,Audio,Each,860.98,1599.97,35,Standard 5%,
MM-00421,Nova Smartphone Lite,Nova,phones,Each,90.18,141.08,48,Standard 5%,
MM-00422,PureSound Wireless Charger Pad,PureSound,Chargers,Each,662.37,1146.57,35,Standard 5%,
MM-00423,PureSound Fast Charger 20W,PureSound,Charging,Each,753.28,1175.93,24,Standard 5%,
MM-00424,Nova Car Mount,Nova,Acc.,Each,601.94,771.04,2,Standard 5%,
MM-00425,PureSound Car Mount,PureSound,Accessories,Each,372.89,523.66,6,Standard 5%,
MM-00426,Vantage Screen Protector,Vantage,Accessories,Each,464.11,614.30,20,Standard 5%,
MM-00427,Vantage Smart Watch,Vantage,Wearables,Each,387.52,672.09,15,Standard 5%,
MM-00428,PureSound Replacement Screen,PureSound,Repair Parts,Each,278.09,494.05,45,Standard 5%,
MM-00429,Nova Fitness Band,Nova,Wearable,Each,125.27,198.28,34,Standard 5%,
MM-00430,Zenlink Bluetooth Speaker,Zenlink,Audio,Each,76.13,140.92,16,Standard 5%,
MM-00431,PureSound Wireless Charger Pad,PureSound,Chargers,Each,363.34,489.83,14,Standard 5%,
MM-00432,Falconx Fast Charger 20W,Falconx,Charging,Each,72.05,95.86,33,Standard 5%,
MM-00433,PureSound Fitness Band,PureSound,Wearables,Each,702.11,923.98,41,Standard 5%,
MM-00434,Vantage Replacement Battery,Vantage,Parts,Each,533.63,711.92,23,Standard 5%,
MM-00435,Vantage Replacement Screen,Vantage,Parts,Each,803.36,1202.48,45,Standard 5%,
MM-00436,Nova Replacement Screen,Nova,Repair Parts,Each,637.37,1117.16,26,Standard 5%,
MM-00437,PureSound Replacement Screen,PureSound,Parts,Each,77.11,144.70,44,Standard 5%,
MM-00438,Vantage Replacement Battery,Vantage,Repair Parts,Each,129.93,201.77,40,Standard 5%,
MM-00439,PureSound Wireless Charger Pad,PureSound,Chargers,Each,19.35,35.37,33,Standard 5%,
MM-00440,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,378.62,554.38,36,Standard 5%,
MM-00441,Falconx Replacement Screen,Falconx,Parts,Each,88.97,132.93,37,Standard 5%,
MM-00442,Orbit Bluetooth Speaker,Orbit,audio,Each,203.59,353.44,19,Standard 5%,
MM-00443,Nova Smartphone 128GB,Nova,Phones,Each,787.16,1161.48,46,Standard 5%,
MM-00444,Vantage Phone Case,Vantage,Acc.,Each,484.72,891.84,15,Standard 5%,
MM-00445,Nova Fast Charger 20W,Nova,Charging,Each,688.66,1296.68,43,Standard 5%,
MM-00446,Zenlink Car Mount,Zenlink,Acc.,Each,221.94,316.49,35,Standard 5%,
MM-00447,Zenlink Wireless Charger Pad,Zenlink,Chargers,Each,791.46,1310.35,36,Standard 5%,
MM-00448,PureSound Smart Watch,PureSound,Wearable,Each,767.91,1276.10,1,Standard 5%,
MM-00449,Zenlink Smart Watch,Zenlink,Wearables,Each,291.68,501.78,3,Standard 5%,
MM-00450,Zenlink Replacement Screen,Zenlink,Parts,Each,172.16,234.97,13,Standard 5%,
MM-00451,Nova Wireless Earbuds,Nova,audio,Each,815.47,1176.93,14,Standard 5%,
MM-00452,PureSound Wireless Earbuds,PureSound,audio,Each,468.68,860.95,34,Standard 5%,
MM-00453,Orbit Phone Case,Orbit,Acc.,Each,528.15,716.02,39,Standard 5%,
MM-00454,Nova Replacement Screen,Nova,Repair Parts,Each,192.91,343.72,16,Standard 5%,
MM-00455,Falconx Fitness Band,Falconx,Wearables,Each,581.55,818.12,18,Standard 5%,
MM-00456,PureSound Screen Protector,PureSound,Acc.,Each,357.42,520.09,25,Standard 5%,
MM-00457,PureSound Smartphone 128GB,PureSound,Mobiles,Each,505.51,889.77,36,Standard 5%,
MM-00458,Vantage Cable Type-C,Vantage,Accessories,Each,577.52,1070.19,25,Standard 5%,
MM-00459,Vantage Fast Charger 20W,Vantage,Chargers,Each,548.18,942.99,26,Standard 5%,
MM-00460,Zenlink Wireless Earbuds,Zenlink,Audio,Each,63.34,83.92,10,Standard 5%,
MM-00461,PureSound Smart Watch,PureSound,Wearable,Each,293.53,465.18,7,Standard 5%,
MM-00462,Falconx Over-Ear Headphones,Falconx,audio,Each,109.99,186.90,27,Standard 5%,
MM-00463,Zenlink Smartphone 128GB,Zenlink,phones,Each,500.07,832.94,41,Standard 5%,
MM-00464,Orbit Replacement Battery,Orbit,Repair Parts,Each,429.73,587.62,14,Standard 5%,
MM-00465,Vantage Over-Ear Headphones,Vantage,Audio,Each,869.63,1214.67,3,Standard 5%,
MM-00466,Nova Car Mount,Nova,Accessories,Each,671.92,1129.78,7,Standard 5%,
MM-00467,Zenlink Screen Protector,Zenlink,Acc.,Each,762.79,1001.04,18,Standard 5%,
MM-00468,Vantage Phone Case,Vantage,accessories,Each,273.65,512.25,6,Standard 5%,
MM-00469,Nova Fast Charger 20W,Nova,Chargers,Each,37.57,65.89,40,Standard 5%,
MM-00470,Falconx Fast Charger 20W,Falconx,Chargers,Each,350.23,441.85,41,Standard 5%,
MM-00471,Falconx Wireless Earbuds,Falconx,Audio,Each,665.21,1051.50,36,Standard 5%,
MM-00472,Orbit Smart Watch,Orbit,Wearables,Each,178.80,260.13,34,Standard 5%,
MM-00473,Falconx Replacement Battery,Falconx,Parts,Each,549.14,768.06,48,Standard 5%,
MM-00474,Vantage Smart Watch,Vantage,Wearable,Each,693.82,983.02,49,Standard 5%,
MM-00475,Orbit Wireless Earbuds,Orbit,audio,Each,664.88,1077.28,3,Standard 5%,
MM-00476,Falconx Smartphone 128GB,Falconx,Phones,Each,366.08,684.17,8,Standard 5%,
MM-00477,Falconx Replacement Battery,Falconx,Repair Parts,Each,836.92,1381.58,13,Standard 5%,
MM-00478,Nova Replacement Battery,Nova,Parts,Each,689.85,1035.51,46,Standard 5%,
MM-00479,Nova Smartphone 256GB,Nova,Mobiles,Each,388.51,590.57,13,Standard 5%,
MM-00480,Nova Screen Protector,Nova,Acc.,Each,778.66,1355.95,47,Standard 5%,
MM-00481,Vantage Fitness Band,Vantage,Wearable,Each,721.80,1264.16,39,Standard 5%,
MM-00482,Nova Over-Ear Headphones,Nova,Audio,Each,849.27,1084.45,6,Standard 5%,
MM-00483,PureSound Bluetooth Speaker,PureSound,audio,Each,212.92,356.44,35,Standard 5%,
MM-00484,Orbit Smartphone 128GB,Orbit,phones,Each,567.43,777.93,45,Standard 5%,
MM-00485,Falconx Fast Charger 20W,Falconx,Chargers,Each,160.63,258.85,32,Standard 5%,
MM-00486,Falconx Wireless Charger Pad,Falconx,Charging,Each,501.05,873.97,40,Standard 5%,
MM-00487,Vantage Smart Watch,Vantage,Wearables,Each,135.66,193.27,16,Standard 5%,
MM-00488,PureSound Fast Charger 65W,PureSound,Chargers,Each,140.42,219.05,8,Standard 5%,
MM-00489,Falconx Replacement Battery,Falconx,Repair Parts,Each,170.93,229.35,2,Standard 5%,
MM-00490,Nova Fast Charger 20W,Nova,Chargers,Each,187.18,353.16,14,Standard 5%,
MM-00491,Falconx Over-Ear Headphones,Falconx,audio,Each,838.25,1215.34,20,Standard 5%,
MM-00492,PureSound Wireless Charger Pad,PureSound,Chargers,Each,299.46,526.02,19,Standard 5%,
MM-00493,Orbit Fast Charger 65W,Orbit,Charging,Each,631.48,1036.11,5,Standard 5%,
MM-00494,Vantage Smartphone 128GB,Vantage,Mobiles,Each,15.63,22.64,18,Standard 5%,
MM-00495,Zenlink Over-Ear Headphones,Zenlink,audio,Each,235.53,381.54,34,Standard 5%,
MM-00496,Vantage Wireless Charger Pad,Vantage,Charging,Each,673.84,1030.91,34,Standard 5%,
MM-00497,Orbit Wireless Earbuds,Orbit,Audio,Each,803.54,1098.29,5,Standard 5%,
MM-00498,Vantage Smartphone 128GB,Vantage,Mobiles,Each,220.28,302.82,29,Standard 5%,
MM-00499,Vantage Replacement Screen,Vantage,Repair Parts,Each,285.47,431.04,34,Standard 5%,
MM-00500,Vantage Bluetooth Speaker,Vantage,Audio,Each,263.25,432.14,19,Standard 5%,
MM-00501,Nova Wireless Earbuds,Nova,audio,Each,878.50,1121.24,20,Standard 5%,
MM-00502,PureSound Wireless Earbuds,PureSound,Audio,Each,746.83,1401.56,15,Standard 5%,
MM-00503,PureSound Bluetooth Speaker,PureSound,Audio,Each,65.54,96.88,31,Standard 5%,
MM-00504,Falconx Smartphone Lite,Falconx,Phones,Each,439.65,598.64,15,Standard 5%,
MM-00505,Zenlink Screen Protector,Zenlink,accessories,Each,81.11,150.05,1,Standard 5%,
MM-00506,Vantage Fast Charger 20W,Vantage,Charging,Each,611.03,1092.23,32,Standard 5%,
MM-00507,PureSound Smartphone 256GB,PureSound,phones,Each,184.04,269.44,22,Standard 5%,
MM-00508,Falconx Smartphone Lite,Falconx,Mobiles,Each,87.34,145.31,46,Standard 5%,
MM-00509,Zenlink Smartphone 256GB,Zenlink,phones,Each,638.31,951.47,11,Standard 5%,
MM-00510,Nova Smartphone 128GB,Nova,phones,Each,206.58,344.36,21,Standard 5%,
MM-00511,Nova Smart Watch,Nova,Wearables,Each,368.47,581.13,43,Standard 5%,
MM-00512,Orbit Fitness Band,Orbit,Wearables,Each,17.87,28.06,8,Standard 5%,
MM-00513,Vantage Wireless Charger Pad,Vantage,Chargers,Each,190.51,317.85,49,Standard 5%,
MM-00514,Orbit Car Mount,Orbit,Accessories,Each,566.22,771.75,48,Standard 5%,
MM-00515,Falconx Screen Protector,Falconx,Accessories,Each,48.63,76.53,25,Standard 5%,
MM-00516,Vantage Over-Ear Headphones,Vantage,audio,Each,494.39,724.05,22,Standard 5%,
MM-00517,Falconx Fast Charger 65W,Falconx,Chargers,Each,693.08,1139.20,37,Standard 5%,
MM-00518,Falconx Screen Protector,Falconx,Accessories,Each,483.71,813.77,50,Standard 5%,
MM-00519,Zenlink Smartphone 256GB,Zenlink,Phones,Each,382.93,723.53,45,Standard 5%,
MM-00520,Vantage Wireless Earbuds,Vantage,audio,Each,351.23,604.93,27,Standard 5%,
MM-00521,Zenlink Over-Ear Headphones,Zenlink,Audio,Each,234.73,405.85,15,Standard 5%,
MM-00522,PureSound Car Mount,PureSound,Accessories,Each,627.72,1021.90,8,Standard 5%,
MM-00523,Falconx Smart Watch,Falconx,Wearable,Each,645.71,972.87,44,Standard 5%,
MM-00524,Falconx Over-Ear Headphones,Falconx,Audio,Each,250.42,437.71,44,Standard 5%,
MM-00525,Zenlink Smartphone 256GB,Zenlink,Mobiles,Each,533.83,967.46,15,Standard 5%,
MM-00526,PureSound Fitness Band,PureSound,Wearables,Each,737.24,1012.34,24,Standard 5%,
MM-00527,Nova Fitness Band,Nova,Wearables,Each,258.63,415.45,45,Standard 5%,
MM-00528,Nova Wireless Charger Pad,Nova,Charging,Each,408.97,571.36,39,Standard 5%,
MM-00529,Zenlink Replacement Battery,Zenlink,Repair Parts,Each,471.57,597.82,50,Standard 5%,
MM-00530,Vantage Wireless Earbuds,Vantage,audio,Each,647.14,966.79,20,Standard 5%,
MM-00531,Zenlink Replacement Battery,Zenlink,Parts,Each,529.77,828.27,31,Standard 5%,
MM-00532,PureSound Replacement Screen,PureSound,Parts,Each,665.81,1239.56,19,Standard 5%,
MM-00533,Zenlink Smart Watch,Zenlink,Wearables,Each,436.00,592.03,42,Standard 5%,
MM-00534,Vantage Fitness Band,Vantage,Wearables,Each,869.85,1314.40,41,Standard 5%,
MM-00535,Vantage Smart Watch,Vantage,Wearable,Each,641.59,828.72,11,Standard 5%,
MM-00536,PureSound Replacement Screen,PureSound,Repair Parts,Each,530.98,732.62,26,Standard 5%,
MM-00537,Falconx Replacement Screen,Falconx,Parts,Each,540.35,725.25,3,Standard 5%,
MM-00538,Vantage Replacement Battery,Vantage,Repair Parts,Each,619.37,1089.13,21,Standard 5%,
MM-00539,Zenlink Replacement Battery,Zenlink,Parts,Each,454.77,772.95,16,Standard 5%,
MM-00540,Falconx Fast Charger 65W,Falconx,Chargers,Each,644.47,815.80,22,Standard 5%,
MM-00541,Nova Smartphone 256GB,Nova,Mobiles,Each,425.84,794.33,2,Standard 5%,
MM-00542,PureSound Fast Charger 20W,PureSound,Chargers,Each,228.75,367.51,0,Standard 5%,
MM-00543,Nova Fast Charger 65W,Nova,Chargers,Each,501.46,666.75,33,Standard 5%,
MM-00544,Falconx Replacement Screen,Falconx,Parts,Each,62.26,103.74,50,Standard 5%,
MM-00545,PureSound Replacement Battery,PureSound,Parts,Each,852.00,1266.55,39,Standard 5%,
MM-00546,Zenlink Smartphone Lite,Zenlink,Phones,Each,674.84,981.31,0,Standard 5%,
MM-00547,PureSound Phone Case,PureSound,accessories,Each,325.82,514.99,42,Standard 5%,
MM-00548,PureSound Wireless Charger Pad,PureSound,Charging,Each,500.65,787.62,48,Standard 5%,
MM-00549,Falconx Bluetooth Speaker,Falconx,audio,Each,829.84,1514.91,40,Standard 5%,
MM-00550,PureSound Replacement Battery,PureSound,Parts,Each,717.32,1346.34,18,Standard 5%,
MM-00551,Nova Fast Charger 20W,Nova,Chargers,Each,568.98,883.46,23,Standard 5%,
MM-00552,Falconx Replacement Screen,Falconx,Parts,Each,715.88,1132.48,7,Standard 5%,
MM-00553,Falconx Fitness Band,Falconx,Wearables,Each,888.04,1174.41,14,Standard 5%,
MM-00554,Vantage Smart Watch,Vantage,Wearable,Each,697.96,1248.64,28,Standard 5%,
